naam,latijn,zonlicht,water,grootte,moeilijkheid,beschrijving
Syngonium, Philodendron, Zonnig, Regelmatig, Medium, Gemakkelijk, Het blad van de Syngonium 'Pixie' heeft in zijn bladvorm het meeste weg van de Aronskelk. In zijn jonge jaren heeft hij meer ovaalvormig blad en 1 blad per steel. Naarmate de 'Pixie' ouder wordt krijgt hij meer bladeren per steel en krijgen de bladeren meer een pijlvorming blad. Zorg voor voldoende water en vocht en je kunt genieten van deze prachtige bladplant die verder weinig eisen stelt aan zijn verzorging.
Bananenplant, Musa, Zonnig, Regelmatig, Gemiddeld, Gemiddeld, De Musa stelt wel enige eisen aan zijn verzorging en omgeving. 
Lantaarnplant, Ceropegia, Schaduw, Zelden, Klein, Gemiddeld, De Ceropegia sandersonii heeft bijzondere parachutevormige bloemen.
Gatenplant, Monstera Deliciosa, Beschut, Gemiddeld, Groot, Gemakkelijk, Een ideale plant voor een snel groen resultaat. De Monstera deliciosa is een kruipende klimplant.
Stippenbegonia, Begonia Maculata, Beschut, Zelden, Gemiddeld, Gemiddeld, De stippenbegonia is een aantrekkelijke plant.
Pothos, Philodendron, Zonnig, Gemiddeld, Gemiddeld, Gemakkelijk, Pothos is een gemakkelijk en niet veeleisende groene huisgenoot. 
Calethea, Orbifolia, Schaduw, Gemiddeld, Gemiddeld, Gemiddeld, Jouw ideale plantenvriendin als je huisdieren of kindjes hebt.
Ever Green, Aglaonema, Beschut, Gemiddeld, Gemiddeld, Gemiddeld, De Aglaonema is een bijzondere kamerplant met een even bijzondere naam.
Pannekoekplant, Pilea, Zonnig, Gemiddeld, Klein, Gemiddeld, Het felbegeerde Pannenkoekenplantje was in de jaren 70 een tijdje heel populair.
ZZ Plant, Zamioculcas, Halfschaduw, Zelden, Gemiddeld, Gemakkelijk, Hij is dé ideale kamervriend waar je zo goed als geen omkijken naar hebt. Qua zonlicht heeft hij weinig eisen en hij heeft zeer weinig water nodig. Door zijn redelijk trage groei is de Zamioculcas niet bijzonder goed in het zuiveren van de lucht. 
Begonia rex, Begonia rex-cultorum, Halfschaduw, Zelden, Klein, Gemakkelijk, De Begonia is een echte eyecatcher. Ze zijn vaak vrij klein van stuk maar minstens zo mooi om naar te kijken! Vroeger was hij een van de meest voorkomende kamerplanten; toen was 'ie even weg en kreeg hij een wat 'oubollig' karakter. Maar hey! Hij is he-le-maal terug van weg geweest!
Vingerplant, Fatsia japonica, Halfschaduw, Regelmatig, Groot, Gemiddeld, De Schefflera is een bijzondere plant. Die voornamelijk bekend staat om zijn bladeren in de vorm van een hand. Hier dankt deze plant ook zijn Nederlandse naam aan: de Vingerplant. Een hele prettige plant om in huis of kantoor te hebben aangezien de Schefflera weinig licht en water nodig heeft. We mogen hier dus wel spreken van een duim omhoog.